Order [site=South, currencyCode=CNY, amount=100, transactionMode=BUY]
Order [site=South, currencyCode=EUR, amount=50, transactionMode=BUY]
Order [site=South, currencyCode=USD, amount=1000, transactionMode=SELL]
Order [site=South, currencyCode=NOK, amount=200, transactionMode=SELL]
Order [site=South, currencyCode=DKK, amount=500, transactionMode=SELL]
Order [site=South, currencyCode=EUR, amount=100, transactionMode=BUY]
Order [site=South, currencyCode=NOK, amount=1000, transactionMode=BUY]
Order [site=South, currencyCode=GBP, amount=500, transactionMode=SELL]
Order [site=South, currencyCode=NOK, amount=100, transactionMode=SELL]
Order [site=South, currencyCode=EUR, amount=100, transactionMode=BUY]
Order [site=South, currencyCode=DKK, amount=50, transactionMode=SELL]
Order [site=South, currencyCode=GBP, amount=500, transactionMode=SELL]
Order [site=South, currencyCode=USD, amount=1000, transactionMode=BUY]
Order [site=South, currencyCode=AUD, amount=50, transactionMode=BUY]
Order [site=South, currencyCode=USD, amount=100, transactionMode=SELL]
Order [site=South, currencyCode=JPY, amount=100, transactionMode=SELL]
Order [site=South, currencyCode=AUD, amount=200, transactionMode=SELL]
Order [site=South, currencyCode=GBP, amount=50, transactionMode=BUY]
Order [site=South, currencyCode=JPY, amount=200, transactionMode=SELL]
Order [site=South, currencyCode=JPY, amount=100, transactionMode=SELL]
Order [site=South, currencyCode=NOK, amount=1000, transactionMode=BUY]
Order [site=South, currencyCode=CNY, amount=1000, transactionMode=BUY]
Order [site=South, currencyCode=EUR, amount=50, transactionMode=SELL]
Order [site=South, currencyCode=EUR, amount=200, transactionMode=SELL]
Order [site=South, currencyCode=RUB, amount=200, transactionMode=BUY]
